quote,author,category
"Just growing up, my dad always told me the most important point of the game is the extra point. A lot of people take that play off. It's an opportunity to make something happen, and I'm going to make the most of it.",Eric Berry,"Opportunity, Growing Up, Me "
"When you break it all down, my punk rock is my dad's blues. It's music from the underground, and it's real, and it's written for the downtrodden in uncertain times.",Frank Iero,"Music, You, Blues "
"The best money advice ever given me was from my father. When I was a little girl, he told me, 'Don't spend anything unless you have to.'",Dinah Shore,"Money, Best, Father "
"My dad always said there's four phases in an actor/director's life. There's 'Mario Who?' There's 'Get me Mario!' 'Get me a young Mario,' and 'Mario Who?'",Mario Van Peebles,"Life, Me, Young "
"When my dad first started out in the police force, wearing the uniform was a sense of pride, and it was respected in the community for what the police force was all about. Unfortunately today, the uniform is a target.",Jerry Doyle,"Community, Today, Pride "
"One of my earliest memories is my father telling me to behave because I'm about to meet and work with the greatest actor of all time. Then this old guy comes out and I was like, 'Pfff, he doesn't look anything like Luke Skywalker, I don't know what my dad is trying to tell me here.'",Sean Maguire,"Work, Time, Memories "
My dad has worked so hard his whole life. He doesn't deserve to see his daughters going out embarrassing themselves and flashing their knickers. I want to make my parents proud.,Petra Stunt,"Life, Parents, Proud "
"I come from an artistic family. My dad's an actor, my mother's an actress, my sister's an actress. So I kind of grew up in that kind of environment. Oddly enough, I never really knew about my parents' work. I've seen small clips of it, but we never actually spoke about the business.",Portia Doubleday,"Work, Family, Business "
"I think once I fail enough as a dad, I'll be looking for help wherever I can get it. I just need enough time to screw things up and then I'll start looking to TV dads for advice.",Ty Burrell,"Time, Advice, Help "
"I grew up with lacrosse in my life because my dad played lacrosse all throughout college, so I grew up with the gear in my house - like the sticks, the helmet.",Tyler Posey,"Life, College, My Life "
"I know when I'm not dancing, and I go home, I usually work with my dad, who's an electrician. So I do stuff like that. I used to be a landscape gardener. I loved that job. But I'd like to be involved with entertainment. Singing or something, I guess.",Tristan MacManus,"Work, Home, Job "
My father invented a cure for which there was no disease and unfortunately my mother caught it and died of it.,Victor Borge,"Father, Mother, Caught "
"That is the thankless position of the father in the family - the provider for all, and the enemy of all.",August Strindberg,"Family, Father, Enemy "
Father or stepfather - those are just titles to me. They don't mean anything.,Oliver Hudson,"Father, Me, Mean "
Fathers in today's modern families can be so many things.,Oliver Hudson,"Today, Modern, Things "
My dad was a bass player in a Latino band when I was growing up. So we always had musical instruments in our basement.,Lindi Ortega,"Growing Up, Latino, Bass "
